id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
328,Monero,XMR,monero,148,2014-05-21T00:00:00.000Z,,18014103.58,18014103.58,,43,2021-11-14T08:47:05.000Z,274.8060433,224048108.7,1.1535,-1.66903656,3.58026765,5.11209574,1.71942585,2.34083857,-1.77800701,4950384530,0.1762,4950384530,2021-11-14T08:47:05.000Z
1765,EOS,EOS,eos,383,2017-07-01T00:00:00.000Z,,971252774.1,1039253186,,44,2021-11-14T08:47:08.000Z,4.934508166,902296146,-20.0594,-0.79077203,0.95427446,10.92449372,8.84249166,1.44290732,-14.50233662,4792654745,0.1706,5128203333,2021-11-14T08:47:08.000Z
7129,TerraUSD,UST,terrausd,108,2020-09-21T00:00:00.000Z,,4697642424,4697642194,,45,2021-11-14T08:46:09.000Z,1.006321241,51750554.04,-43.6673,-0.11635793,0.12947457,0.30623074,0.61494656,0.18115923,0.3829806,4727337356,0.1683,4727337124,2021-11-14T08:46:09.000Z
7186,PancakeSwap,CAKE,pancakeswap,136,2020-09-25T00:00:00.000Z,,242182934.4,242182934.4,"{'id': 1839, 'name': 'Binance Smart Chain (BEP20)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': '0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82'}",46,2021-11-14T08:47:02.000Z,18.10246812,178202960,-7.7195,-0.83602671,-0.79101886,-10.27365192,-7.13747168,-17.84818527,-17.69549347,4384108850,0.1561,4384108850,2021-11-14T08:47:02.000Z
1934,Loopring,LRC,loopring,135,2017-08-30T00:00:00.000Z,1374513896,1328247995,1373873440,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbbbbca6a901c926f240b89eacb641d8aec7aeafd'}",47,2021-11-14T08:46:10.000Z,3.131260092,1617590872,35.1256,-2.46385251,10.51488916,130.4416475,605.3639875,554.5013448,829.8838258,4159089938,0.1481,4303960509,2021-11-14T08:46:10.000Z
7278,Aave,AAVE,aave,245,2020-10-02T00:00:00.000Z,16000000,13243463.32,16000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9'}",48,2021-11-14T08:47:03.000Z,312.2364707,219225186.5,-15.4653,-0.06901036,0.82434516,-2.35401262,5.33191348,-19.6213317,-27.13573436,4135092246,0.1472,4995783531,2021-11-14T08:47:03.000Z
4558,Flow,FLOW,flow,47,2021-01-27T00:00:00.000Z,,310613212,1378211739,,49,2021-11-14T08:47:06.000Z,12.97248091,98659920.07,-4.497,-0.63961,1.09039796,-5.33515609,-24.71941847,-41.07512595,-43.91646132,4029423962,0.1434,17878825467,2021-11-14T08:47:06.000Z
4256,Klaytn,KLAY,klaytn,64,2020-03-30T00:00:00.000Z,,2522425560,10720872227,,50,2021-11-14T08:47:04.000Z,1.530554923,112170945.4,-4.8522,-0.78781017,-0.84319009,-5.66755238,-3.54272594,13.83139695,-19.84296343,3860710858,0.1374,16408883764,2021-11-14T08:47:04.000Z
10791,eCash,XEC,ecash,39,2021-07-08T00:00:00.000Z,2.10E+13,1.89E+13,1.89E+13,,51,2021-11-14T08:47:07.000Z,0.00020405,140446741,-50.6083,-0.53455488,0.88872288,5.46937539,-2.72121721,-20.25858001,273.2165267,3855865848,0.1373,4285043926,2021-11-14T08:47:07.000Z
5647,Kadena,KDA,kadena,12,2020-05-31T00:00:00.000Z,1000000000,157336575.8,1000000000,,52,2021-11-14T08:47:07.000Z,23.34323475,95677769.54,-37.1803,-0.45983902,5.14568106,37.68113379,943.162873,1235.974476,3489.208091,3672744624,0.1308,23343234753,2021-11-14T08:47:07.000Z
5034,Kusama,KSM,kusama,105,2019-12-12T00:00:00.000Z,,8470098.057,9651217.451,,53,2021-11-14T08:46:10.000Z,426.5083307,95534220.57,-15.8734,-0.11054441,1.20202427,-6.65375731,24.72729172,2.8747819,48.57758222,3612567383,0.1286,4116324644,2021-11-14T08:46:10.000Z
1720,IOTA,MIOTA,iota,61,2017-06-13T00:00:00.000Z,2779530283,2779530283,2779530283,,54,2021-11-14T08:47:08.000Z,1.295421402,50041364.04,-15.2253,-0.74362561,-0.20302092,-3.018712,1.04233886,-19.20822114,8.42974804,3600663016,0.1282,3600663016,2021-11-14T08:47:08.000Z
1376,Neo,NEO,neo,227,2016-09-08T00:00:00.000Z,100000000,70538831,100000000,,55,2021-11-14T08:47:05.000Z,48.35556829,259622468.7,-8.8205,-0.33014561,1.66043867,7.132674,10.10072977,-6.13987419,-18.37817295,3410945260,0.1214,4835556829,2021-11-14T08:47:05.000Z
4157,THORChain,RUNE,thorchain,59,2019-07-23T00:00:00.000Z,500000000,258210215.1,461668422.2,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'RUNE-B1A'}",56,2021-11-14T08:47:03.000Z,13.01088713,91929542.07,-1.7057,-1.11747978,6.59741657,-7.91474842,68.70612316,38.11792387,38.64670568,3359543965,0.1196,6505443564,2021-11-14T08:47:03.000Z
3602,Bitcoin SV,BSV,bitcoin-sv,155,2018-11-09T00:00:00.000Z,21000000,18896457.89,18896457.89,,57,2021-11-14T08:47:06.000Z,174.5851623,145302412.1,-25.4001,-0.38579884,1.09514251,4.43373532,2.04679196,13.76929691,0.66112907,3299041169,0.1175,3666288409,2021-11-14T08:47:06.000Z
4066,Chiliz,CHZ,chiliz,189,2019-07-01T00:00:00.000Z,8888888888,5941088089,8888888888,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3506424f91fd33084466f402d5d97f05f8e3b4af'}",58,2021-11-14T08:46:10.000Z,0.53173779,873871155.4,-47.4639,-0.0088919,-7.61137194,7.85115459,68.57849661,57.9927487,41.53269856,3159101051,0.1125,4726558134,2021-11-14T08:46:10.000Z
3155,Quant,QNT,quant,48,2018-08-10T00:00:00.000Z,14612493,12072738,14612493.08,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4a220e6096b25eadb88358cb44068a3248254675'}",59,2021-11-14T08:47:03.000Z,256.5094482,48398387.57,-6.0187,-0.05011808,-0.61795155,-2.8639298,-7.07104369,-28.74015997,61.37878487,3096771363,0.1102,3748242517,2021-11-14T08:47:03.000Z
1518,Maker,MKR,maker,200,2017-01-29T00:00:00.000Z,1005577,991328.382,991328.382,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}",60,2021-11-14T08:47:07.000Z,3046.793112,158927156.7,27.1608,-0.79182888,1.6203333,1.14367377,20.54190701,5.47286205,-20.54343685,3020372485,0.1075,3063785077,2021-11-14T08:47:07.000Z
