,SYMBOL,Open,High,Low,Close,Adj Close,Volume,Gross Profit,percentage_chng_24h,percentage_chng_7d,percentage_chng_30d,percentage_chng_1h
54,BAC,47.2599983215332,47.38999938964844,46.904998779296875,47.04999923706055,47.04999923706055,35335506.0,74208000000,0.298442528466904,-0.12774403178973862,-1.8208433531014176,-0.2754762814177999
55,BAX,79.58000183105469,79.70999908447266,78.66000366210938,79.55000305175781,79.55000305175781,1609672.0,4733000000,0.11326952972837877,1.8195773350673814,0.6332320235529538,0.3594219921692266
56,BBWI,75.01000213623047,75.55000305175781,73.38999938964844,74.80999755859375,74.80999755859375,1929473.0,5607000000,-0.05344143799972663,-0.6108074616716874,8.336955335850185,0.0936576088104912
57,BBY,136.74000549316406,136.75,131.83999633789062,132.36000061035156,132.36000061035156,2665917.0,10596000000,-2.4109740873977685,5.082511184891541,10.953867189989214,-0.039799715479277756
58,BDX,244.6999969482422,245.0,242.90499877929688,243.67999267578125,243.67999267578125,1359677.0,7919000000,-0.13115054271260246,0.11899112803902433,1.840645990865998,0.1232590134564235
59,BEN,36.02000045776367,36.19900131225586,35.630001068115234,35.7400016784668,35.7400016784668,1769119.0,2240100000,-0.4734006395646465,0.08360863546220297,14.036202313179622,-0.027967332960008744
60,BF-B,71.88999938964844,72.30000305175781,71.41000366210938,72.1500015258789,72.1500015258789,632640.0,2094000000,0.34770513865708014,-1.0731958943612288,5.906616839419056,0.32686643205264837
61,BIIB,273.82000732421875,276.5,270.8302001953125,271.82000732421875,271.82000732421875,748603.0,11639400000,0.5140016588707266,-2.9603847483942354,1.406179729635398,0.011033019481528896
62,BIO,759.9500122070312,766.5900268554688,752.2750244140625,753.8400268554688,753.8400268554688,56700.0,1435922000,-0.32263213980075045,4.226794636853389,-4.8321291252858956,-0.027198710915517194
63,BK,60.290000915527344,60.380001068115234,59.72999954223633,59.90999984741211,59.90999984741211,2376021.0,15472000000,-0.28295935163355135,2.1421321706353917,,-0.21655381652748285
64,BKNG,2455.0,2464.0,2400.22998046875,2405.010009765625,2405.010009765625,337176.0,4852000000,-1.9023879605949356,-6.388773839757084,1.275203557253456,-0.045276949925620064
65,BKR,24.450000762939453,24.774999618530273,24.09000015258789,24.729999542236328,24.729999542236328,6228388.0,3445000000,1.5188789926693922,-1.7741880655038917,-2.8708106680412557,-0.0606235461236503
66,BLK,971.010009765625,971.5,951.010009765625,953.239990234375,953.239990234375,678620.0,8266000000,-1.8785576983245222,1.7149862459854035,2.970975728585893,-0.0827456626927781
67,BLL,93.62000274658203,95.9800033569336,93.62000274658203,95.87999725341797,95.87999725341797,1608546.0,2458000000,2.4687373796384935,3.4036931194224964,2.284648296017161,0.3400794641756566
68,BMY,59.79999923706055,60.060001373291016,59.4900016784668,59.619998931884766,59.619998931884766,10543303.0,34045000000,0.31970154086039493,-0.03364248529352411,1.7636964938099353,-0.13400641546448858
69,BR,177.35000610351562,178.22500610351562,176.47999572753906,177.0800018310547,177.0800018310547,304552.0,1263900000,0.2661237863534535,1.6109562689648464,-1.0089137463204347,0.33432208236823885
70,BRK-B,286.6000061035156,286.8399963378906,284.2950134277344,284.6700134277344,284.6700134277344,3219074.0,69721000000,-0.46154650572171263,-0.6565286287273996,-0.3553951069800518,-0.045637068400739535
71,BRO,64.61000061035156,65.02899932861328,64.02999877929688,64.30000305175781,64.30000305175781,1020388.0,1174187000,-0.3409696260922469,,,0.20259449356726816
72,BSX,42.18000030517578,42.27000045776367,41.165000915527344,41.34000015258789,41.34000015258789,9649320.0,6793000000,-1.7352021571945444,-2.5254869240998095,-2.457689188592773,-0.13288991834971312
73,BWA,48.63999938964844,48.679901123046875,48.029998779296875,48.54999923706055,48.54999923706055,1406998.0,1910000000,0.6217600768094236,2.8784614716402075,7.055691871994772,0.15468858821348644
74,BXP,118.72000122070312,120.69999694824219,118.36000061035156,120.66000366210938,120.66000366210938,539993.0,1705929000,2.254240391618114,0.9323379554763401,3.8366777840274424,0.642098302383346
75,C,69.43000030517578,69.66999816894531,68.54000091552734,68.73999786376953,68.73999786376953,12965070.0,58369000000,-0.607295801185667,3.2392982050137618,,-0.06774625146836229
76,CAG,32.31999969482422,32.375,32.025001525878906,32.29999923706055,32.29999923706055,3438843.0,3216300000,0.15503639398619187,-1.0432652684749744,,0.5603994743508511
77,CAH,51.40999984741211,51.47999954223633,50.35499954223633,50.459999084472656,50.459999084472656,2539928.0,6975000000,-1.9051313538089538,3.835279927469932,7.592547896151832,-0.19778933168935176
78,CARR,56.060001373291016,56.329898834228516,55.5,55.70000076293945,55.70000076293945,2956846.0,5129000000,-0.7483930451514836,6.3080090142183645,,-0.21497479853245546
79,CAT,210.0,210.6300048828125,206.77000427246094,207.7100067138672,207.7100067138672,2392576.0,10127000000,-0.7454472818582721,1.6465899112339903,,-0.0625340968282389
80,CB,193.35000610351562,194.1313934326172,192.19500732421875,193.16000366210938,193.16000366210938,1065388.0,7110000000,0.16594447744027083,-0.18117195460038385,-1.3000350503857105,0.04144528392509526
81,CBOE,131.69000244140625,132.26499938964844,131.0,131.0,131.0,609797.0,1254300000,0.03053854923831312,-1.7333214410882183,-0.7427586095235011,-0.4630336912982862
82,CBRE,105.55000305175781,105.63999938964844,104.12999725341797,104.58999633789062,104.58999633789062,788911.0,4828075000,-0.6648348100959012,-1.302961553873373,1.162566355866094,0.04781962783734292
83,CCI,180.6699981689453,182.86000061035156,179.72000122070312,182.77999877929688,182.77999877929688,1085685.0,3891000000,1.106317077942719,0.36084709868699705,0.2662205875843899,0.3347788748559099
84,CCL,22.5049991607666,22.719999313354492,22.139999389648438,22.299999237060547,22.299999237060547,22519646.0,834000000,-0.26834244925395034,-9.802340522116472,0.9025305248944288,-0.1344417921914012
85,CDAY,119.5999984741211,120.4000015258789,118.55999755859375,120.3499984741211,120.3499984741211,653565.0,386000000,0.7956423250432572,-3.296347011084156,-4.670657464368139,0.2290375137572472
86,CDNS,182.77999877929688,183.17799377441406,179.85000610351562,182.33999633789062,182.33999633789062,780449.0,2377393000,0.4960283754267566,1.9325856412394662,4.811970308869939,0.12074710449398146
87,CDW,191.47000122070312,192.75,190.30999755859375,190.85000610351562,190.85000610351562,427897.0,3210100000,-0.12036619496289076,2.143579595785256,2.373430527421921,-0.03665304932918848
88,CE,170.3699951171875,171.25,166.0500030517578,167.4199981689453,167.4199981689453,1053248.0,1293000000,-1.5929034480037023,0.43093920462253055,,0.2725296193971556
89,CERN,74.625,75.30999755859375,73.73999786376953,73.91000366210938,73.91000366210938,1739757.0,4572847000,-1.4664690611837552,-0.6884637249708784,0.9691764865123829,-0.01352919814578779
90,CF,64.58000183105469,65.57499694824219,63.470001220703125,65.55000305175781,65.55000305175781,2744055.0,827000000,1.5177378992804125,,,0.1527977206701931
91,CFG,49.540000915527344,50.029998779296875,49.22999954223633,49.95000076293945,49.95000076293945,4759414.0,5289000000,1.195300132277872,3.285205408552553,,0.0701188956629304
92,CHD,90.04000091552734,91.38500213623047,89.81999969482422,91.16000366210938,91.16000366210938,864705.0,2214200000,1.3790096957456452,,,0.33570006483578557
93,CHRW,94.83999633789062,95.69000244140625,94.13500213623047,95.62000274658203,95.62000274658203,899542.0,1169390000,1.1958989399509552,0.7141314976813781,-2.5775853748460293,0.20955253889999867
94,CHTR,689.7100219726562,696.97998046875,689.7100219726562,692.9099731445312,692.9099731445312,732807.0,21198000000,0.5164281837491622,0.0043475107932932164,2.142565547518503,0.04905499126169438
95,CI,217.97999572753906,218.5,215.13999938964844,215.52999877929688,215.52999877929688,1551063.0,24356000000,-1.010424374873547,1.6859708073390416,1.928746362724295,-0.36506160277929967
96,CINF,122.22000122070312,122.33000183105469,121.1500015258789,121.4800033569336,121.4800033569336,374545.0,1658000000,-0.5322147802358884,-3.1406132123763557,0.5681775347004256,0.04941952634918449
97,CL,78.25,78.33999633789062,77.875,78.30000305175781,78.30000305175781,3263887.0,10021000000,0.34602624206701355,0.24409358985768786,,0.1727143026280587
98,CLX,166.0399932861328,169.94000244140625,166.0399932861328,169.8800048828125,169.8800048828125,1274329.0,3199000000,2.312702813750592,1.7028046507624208,,0.5027151854279469
99,CMA,89.38999938964844,90.46499633789062,88.73999786376953,89.58000183105469,89.58000183105469,937893.0,2375000000,0.9238392013169043,1.3820662961682926,4.313087267939613,-0.2894379727604377
100,CMCSA,53.45000076293945,53.72999954223633,53.2400016784668,53.380001068115234,53.380001068115234,9970298.0,70443000000,-0.22429706894348717,-0.7421178377645393,,0.04686045666812928
101,CME,224.42999267578125,226.78500366210938,223.99000549316406,226.67999267578125,226.67999267578125,1496680.0,4870300000,0.813869923322636,1.4162641714682882,1.9496726330802656,0.04881101275578304
102,CMG,1870.0,1895.989990234375,1832.81005859375,1839.3800048828125,1839.3800048828125,233864.0,2071093000,-1.2678472956085616,3.8258993701407173,4.719986134034646,0.11202911641780859
103,CMI,237.0,237.50999450683594,234.43499755859375,236.02999877929688,236.02999877929688,546554.0,4894000000,-0.13116593187661416,-0.307930553749786,-1.4593062264181913,0.029655141158665868
104,CMS,60.349998474121094,61.20000076293945,60.119998931884766,61.16999816894531,61.16999816894531,1071046.0,2769000000,1.9499969482421875,,,0.5011032318535517
105,CNC,75.68000030517578,76.04000091552734,74.8030014038086,75.0999984741211,75.0999984741211,2613811.0,17912000000,-1.0018483128337359,2.278552626571113,6.485124768555927,0.013311809526093486
106,CNP,26.780000686645508,26.959999084472656,26.684999465942383,26.950000762939453,26.950000762939453,2800648.0,2952000000,1.315790888911213,-0.2624660465840759,2.1505355078864907,0.13401015748863457
107,COF,156.8000030517578,158.42999267578125,155.8350067138672,156.36000061035156,156.36000061035156,1772023.0,18259000000,-0.2806137964557376,,,-0.2805601200465732
108,COO,420.4200134277344,422.82501220703125,415.3450012207031,416.44000244140625,416.44000244140625,192831.0,1624900000,-0.3064250635728083,-1.5322238417085698,0.1918804008451404,0.1539310814172258
109,COP,72.2300033569336,73.38999938964844,71.74500274658203,72.72000122070312,72.72000122070312,6181437.0,6794000000,0.49751327710749366,-4.095422747346598,,-0.4379957644641045
110,COST,518.489990234375,523.0999755859375,518.010009765625,519.8900146484375,519.8900146484375,1391472.0,25245000000,0.5259454005770824,0.7892866837207942,,0.2758538193744982
111,CPB,41.70000076293945,41.869998931884766,41.209999084472656,41.72999954223633,41.72999954223633,1818898.0,3008000000,0.43321373882295977,2.0132573141177987,,-0.1199310115316591
112,CPRT,156.5,158.47000122070312,155.27000427246094,156.52999877929688,156.52999877929688,822489.0,1377451000,0.565374183951302,1.1239577365640223,0.23182473173801732,0.32685670116380666
113,CRL,384.45001220703125,390.7049865722656,383.4200134277344,384.5400085449219,384.5400085449219,335162.0,1078914000,-0.35500378435046337,2.846252262101281,-13.989923784952415,-0.13771925588304354
114,CRM,306.8999938964844,307.5989990234375,303.239990234375,305.489990234375,305.489990234375,3595625.0,15814000000,-0.3782826300987818,-0.19528270252746135,2.3223969429673934,0.10972712961046119
115,CSCO,56.9286994934082,57.689998626708984,56.83000183105469,57.27000045776367,57.27000045776367,19041763.0,31683000000,0.7919760037950934,-0.43805852696136066,,0.12235569995528515
116,CSX,35.29999923706055,35.44499969482422,35.154998779296875,35.189998626708984,35.189998626708984,13052295.0,5795000000,-0.1135421971248898,-0.5083318439746797,-2.5988351514931636,-0.056803346446242665
117,CTAS,439.2900085449219,441.5199890136719,435.95001220703125,438.9200134277344,438.9200134277344,170592.0,3314651000,0.07524501073880038,,,0.32240446195549893
118,CTLT,128.47999572753906,129.02999877929688,127.43000030517578,128.2100067138672,128.2100067138672,641433.0,1352000000,0.1249540478688638,4.778662966234451,-7.115912893632427,0.038988734314083826
119,CTRA,20.6299991607666,20.959999084472656,20.420000076293945,20.81999969482422,20.81999969482422,6498967.0,760715000,1.0679578120415363,-4.541239785454213,-3.3771075218602555,-0.43021105286647054
120,CTSH,82.29000091552734,82.68000030517578,81.72000122070312,81.94999694824219,81.94999694824219,2007702.0,6060000000,-0.03660210717577192,2.5904137153803473,4.981440903404768,0.2814091742228599
121,CTVA,49.064998626708984,49.400001525878906,48.09000015258789,48.369998931884766,48.369998931884766,1790746.0,5710000000,-0.6776218190653867,,,-0.28853954725393294
122,CTXS,89.41999816894531,89.41999816894531,85.19999694824219,87.16000366210938,87.16000366210938,2665011.0,2770936000,-2.8099873265956794,0.5381203737171797,-5.330943600550593,0.6463499105941329
123,CVS,94.11000061035156,94.30000305175781,93.43000030517578,93.48999786376953,93.48999786376953,3520911.0,48248000000,-0.563708570751114,0.2559158316202856,,-0.12818066979432172
124,CVX,114.94999694824219,116.94999694824219,114.2699966430664,116.81999969482422,116.81999969482422,11024495.0,43983000000,2.2673520631857844,-0.4444784001490505,-0.22708927564598463,0.0
125,CZR,106.44999694824219,106.69000244140625,102.91000366210938,103.2300033569336,103.2300033569336,1817233.0,1698000000,-2.6132043802513265,-0.4507920189714547,-3.160971234617406,-0.22712317138600513
126,D,74.94999694824219,75.9000015258789,74.55000305175781,75.87999725341797,75.87999725341797,3072628.0,7399000000,1.5252868908644377,-2.338953278556147,-1.5672361867818052,0.39018339507587463
127,DAL,42.63999938964844,42.939998626708984,42.13999938964844,42.380001068115234,42.380001068115234,6938449.0,-3905000000,0.3789669417007297,-4.673740465194958,7.896754582779075,-0.16489916034425914
128,DD,80.66999816894531,80.75,78.44999694824219,78.7699966430664,78.7699966430664,2383161.0,6875000000,-2.4157638108862916,0.39800956312322733,15.97701579076429,0.2547180160308627
129,DE,362.1099853515625,363.75,359.6400146484375,361.1499938964844,361.1499938964844,963574.0,8955000000,0.6381342691853576,1.0303978093328456,4.8347953349320045,-0.06640496440643248
130,DFS,119.29000091552734,120.6050033569336,117.86000061035156,118.18000030517578,118.18000030517578,1039727.0,5414000000,-1.0549247408535416,2.5500139002103768,5.400637807150962,-0.4988482188986001
131,DG,227.97999572753906,231.72999572753906,225.5749969482422,227.0,227.0,1767007.0,10718862000,0.8888888888888888,-0.2792203471075185,,0.0022045514577932576
132,DGX,149.8300018310547,150.57000732421875,146.38999938964844,146.60000610351562,146.60000610351562,1217725.0,3717000000,-2.26666259765625,6.7235835952007825,,-0.2449650203490313
